"","ÀÌ¸§","ÆÀ","Á¤·Ä","ÃâÀå","¿ÏÅõ","¿ÏºÀ","¼±¹ß","½Â","ÆÐ","¼¼","È¦µå","ÀÌ´×","½ÇÁ¡","ÀÚÃ¥","Å¸ÀÚ","¾ÈÅ¸","X2Å¸","X3Å¸","È¨·±","º¼³Ý","°í4","»ç±¸","»ïÁø","º¸Å©","ÆøÅõ","ºñÀ²","ºñÀ².1","ºñÀ².2","ºñÀ².3","ºñÀ².4","WAR","WPA"
"89","¿øÁ¾Çö","21N","0.92","61","0","0","0","2","2","14","6","53.0","27","25","245","67","9","0","5","23","2","3","45","0","4","4.25","4.22","1.70","107.0","107.0","0.92","-1.58"
"90","ÁøÇØ¼ö","21L","0.89","50","0","0","0","1","0","0","5","44.1","17","12","188","41","4","0","2","18","1","3","39","0","1","2.44","3.51","1.33","177.1","124.1","0.89","-0.19"
"91","Á¶Çö¿ì","21K","0.88","49","0","0","0","0","0","0","6","31.0","10","9","126","26","5","1","0","7","1","1","13","0","2","2.61","3.17","1.07","171.9","140.3","0.88","0.73"
"92","¹Ú¹ÎÈ£","21S","0.82","40","0","0","0","4","0","0","5","41.0","18","18","177","45","5","0","3","11","0","4","19","0","0","3.95","4.45","1.37","113.6","101.5","0.82","0.16"
"93","ÇÁ¶ûÄÚ","21·Ô","0.76","37","0","0","27","9","8","0","1","150.0","97","90","677","147","31","2","20","75","0","20","124","1","6","5.40","5.31","1.48","84.2","84.1","0.76","-1.27"
"94","ÀÌ½ÂÁø","21µÎ","0.73","47","0","0","0","1","4","2","13","48.1","24","21","210","41","3","0","3","31","2","2","28","2","2","3.91","4.91","1.49","110.3","88.8","0.73","0.25"
"95","ÀÌÃ¢Àç","21K","0.68","32","0","0","0","2","0","0","0","26.2","8","8","108","22","5","0","0","10","2","0","19","0","0","2.70","2.81","1.20","166.4","158.6","0.68","0.23"
"98","¶óÀÌºí¸®","21»ï","0.66","7","0","0","7","0","1","0","0","33.1","16","15","140","23","6","0","4","13","0","5","38","0","0","4.05","4.23","1.08","111.5","107.0","0.66","0.33"
"99","ÀÓÁØÇü","21L","0.65","6","0","0","4","1","0","0","0","23.0","8","8","94","24","5","0","0","4","0","3","21","0","1","3.13","2.42","1.22","137.8","183.4","0.65","0.46"
"100","¹é½ÂÇö","21L","0.61","16","0","0","0","0","0","0","1","16.2","4","4","66","13","2","0","0","4","0","2","10","0","0","2.16","3.21","1.02","199.7","138.1","0.61","0.51"
"101","±ÇÈÖ","21µÎ","0.60","24","0","0","0","0","0","0","1","20.1","6","6","92","16","3","0","0","14","0","2","15","0","3","2.66","4.22","1.48","162.4","105.0","0.60","0.13"
"102","±è¸í½Å","21µÎ","0.58","58","0","0","1","3","2","0","2","67.0","37","32","289","72","14","3","6","14","1","6","43","0","1","4.30","4.06","1.28","100.3","105.9","0.58","-0.19"
"103","ÃÖ¿øÅÂ","21Å°","0.55","28","0","0","28","9","11","0","0","143.1","89","73","643","163","21","3","11","53","2","10","93","0","3","4.58","4.31","1.51","96.7","100.8","0.55","-0.71"
"104","ÀÌ´ëÀº","21K","0.54","31","0","0","0","3","2","1","9","31.0","15","12","128","27","6","0","4","11","0","1","22","0","0","3.48","4.75","1.23","128.9","93.3","0.54","-0.14"
"105","±èÀ±½Ä","21L","0.54","35","0","0","3","7","4","0","1","66.2","37","32","301","65","9","2","3","36","2","6","56","2","0","4.32","4.04","1.52","99.8","108.1","0.54","-0.54"
"106","ÀÌÀçÇÐ","21N","0.53","17","2","1","17","6","6","0","0","83.0","50","48","370","74","16","1","14","52","0","6","65","0","3","5.20","6.06","1.52","87.2","74.8","0.53","-0.45"
"107","È«»ó»ï","21K","0.51","49","0","0","0","4","1","0","12","36.0","19","19","160","33","9","0","6","19","2","3","33","0","3","4.75","5.33","1.44","93.6","82.8","0.51","0.40"
"110","¾È¿µ¸í","21K","0.51","35","0","0","0","0","1","0","4","35.1","17","16","145","24","3","0","2","11","0","1","32","0","0","4.08","3.28","0.99","110.2","135.9","0.51","-0.13"
