"","ÀÌ¸§","ÆÀ","Á¤·Ä","ÃâÀå","¿ÏÅõ","¿ÏºÀ","¼±¹ß","½Â","ÆÐ","¼¼","È¦µå","ÀÌ´×","½ÇÁ¡","ÀÚÃ¥","Å¸ÀÚ","¾ÈÅ¸","X2Å¸","X3Å¸","È¨·±","º¼³Ý","°í4","»ç±¸","»ïÁø","º¸Å©","ÆøÅõ","ºñÀ²","ºñÀ².1","ºñÀ².2","ºñÀ².3","ºñÀ².4","WAR","WPA"
"701","¹®µ¿¿í","21ÇÑ","0.06","1","0","0","0","0","0","0","0","1.1","0","0","6","1","0","0","0","1","0","0","2","0","0","0.00","2.58","1.50","","172.9","0.06","0.00"
"711","±èÅÂÈÆ","21S","0.05","65","0","0","0","2","4","1","16","58.0","35","32","269","55","5","0","7","39","3","9","49","1","4","4.97","5.54","1.62","90.4","82.1","0.05","-0.06"
"741","ÃÖ¼¼Ã¢","21µÎ","0.05","1","0","0","0","0","0","0","0","1.1","0","0","5","1","0","0","0","1","0","0","0","0","0","0.00","5.58","1.50","","79.4","0.05","0.00"
"751","±è¹ü¼ö","21ÇÑ","0.05","56","0","0","2","4","9","1","9","70.2","44","41","319","68","11","2","2","42","1","2","70","1","8","5.22","3.55","1.56","83.9","125.8","0.05","-1.36"
"761","½ÅÀç¿µ","21S","0.05","20","0","0","1","0","0","0","0","28.1","18","18","124","35","5","1","3","2","0","4","27","0","1","5.72","3.44","1.31","78.5","133.3","0.05","-0.54"
"771","±è°ÇÅÂ","21N","0.05","6","0","0","0","0","0","0","0","6.2","4","4","29","2","0","0","1","7","0","0","5","0","3","5.40","6.93","1.35","84.1","65.3","0.05","-0.27"
"781","±èÇöÁØ","21K","0.05","19","0","0","0","0","1","0","2","19.2","13","12","83","15","1","0","4","12","0","0","19","0","0","5.49","5.88","1.37","81.0","75.4","0.05","-0.24"
"791","¹Ú¿õ","21µÎ","0.04","10","0","0","0","0","0","0","0","11.2","7","7","49","12","1","1","0","4","0","3","7","0","0","5.40","3.93","1.37","79.9","112.5","0.04","-0.02"
"801","À±¼ººó","21·Ô","0.04","1","0","0","0","0","0","0","0","1.0","0","0","5","0","0","0","0","1","0","0","0","0","0","0.00","6.33","1.00","","70.4","0.04","0.00"
"811","°íÈ¿ÁØ","21L","0.04","3","0","0","0","0","0","0","0","2.1","1","1","10","3","0","1","0","0","0","0","1","0","0","3.86","2.48","1.29","111.8","180.1","0.04","-0.14"
"821","ÃßÀçÇö","21·Ô","0.04","1","0","0","0","0","0","0","0","1.0","0","0","4","0","0","0","0","2","0","0","0","0","0","0.00","9.33","2.00","","47.8","0.04","0.00"
"831","±èµµÀ±","21µÎ","0.04","1","0","0","0","0","0","0","0","1.0","0","0","3","0","0","0","0","0","0","0","2","0","0","0.00","-0.67","0.00","","-651.2","0.04","0.00"
"861","Á¶¿µ°Ç","21Å°","0.04","1","0","0","0","0","0","0","0","1.0","0","0","6","1","0","0","0","2","0","0","3","0","0","0.00","3.33","3.00","","128.9","0.04","-0.00"
"871","±è¹Î¼ö","21·Ô","0.03","1","0","0","0","0","0","0","0","1.0","0","0","4","0","0","0","0","1","0","0","1","0","0","0.00","4.33","1.00","","102.8","0.03","0.00"
"881","±èÁø¼ö","21L","0.03","3","0","0","0","0","0","0","0","2.1","1","1","9","2","1","0","0","0","0","0","2","0","0","3.86","1.62","0.86","111.8","276.3","0.03","-0.04"
"891","¿ÀÀ±¼®","21·Ô","0.03","1","0","0","0","0","0","0","0","0.2","0","0","2","0","0","0","0","0","0","0","0","0","0","0.00","3.33","0.00","","133.6","0.03","0.00"
"901","¹ÚÁøÅÂ","21K","0.02","59","0","0","0","3","3","0","9","65.0","44","43","305","68","11","0","6","36","0","13","45","0","5","5.95","5.41","1.60","74.7","82.3","0.02","-1.08"
"911","°¡ºô¸®¿À","21S","0.02","15","0","0","15","6","4","0","0","81.1","54","53","351","88","18","0","7","30","1","6","70","0","3","5.86","4.02","1.45","76.5","113.0","0.02","-0.68"
"921","¹®¼ºÇö","21Å°","0.02","4","0","0","0","0","0","0","0","3.1","2","2","18","3","2","0","0","6","0","0","3","0","1","5.40","6.93","2.70","82.1","63.4","0.02","-0.01"
"931","ÃÖ¹ÎÁØ","21S","0.02","38","0","0","12","3","3","0","4","86.0","56","56","398","93","17","0","11","50","0","7","62","1","5","5.86","5.54","1.66","76.6","81.9","0.02","-1.71"
"941","±è°Ç¿ì","21S","0.02","6","0","0","4","0","1","0","0","11.0","7","6","54","8","1","0","1","12","0","0","7","0","1","4.91","6.51","1.82","91.4","69.2","0.02","-0.10"
"951","°­ÅÂÀ²","21·Ô","0.01","1","0","0","0","0","0","0","0","0.1","0","0","3","2","1","0","0","0","0","0","0","0","0","0.00","3.33","6.00","","133.6","0.01","0.00"
"981","ÃÖÁ¤¿ë","21K","0.01","1","0","0","0","0","0","0","0","0.1","0","0","2","1","0","1","0","0","0","0","0","0","0","0.00","3.33","3.00","","133.6","0.01","-0.00"
"991","¾ÈÀÎ»ê","21N","0.01","7","0","0","0","0","0","0","0","6.2","5","4","34","3","1","0","0","7","0","3","9","0","3","5.40","5.13","1.50","84.1","87.1","0.01","-0.08"
"1001","¾çÇö","21Å°","0.01","45","0","0","0","1","2","0","5","48.0","31","25","225","59","11","0","3","26","4","1","22","0","1","4.69","4.67","1.77","94.6","93.4","0.01","-0.52"
"1011","°­ÅÂ°æ","21N","0.01","3","0","0","3","0","1","0","0","12.2","8","8","61","13","3","0","2","10","0","2","10","0","2","5.68","6.65","1.82","79.9","68.0","0.01","-0.36"
"1021","°­µ¿È£","21·Ô","0.00","1","0","0","0","0","0","0","0","1.1","1","1","7","1","1","0","0","1","0","1","1","0","1","6.75","6.33","1.50","67.3","70.8","0.00","0.00"
"1031","·ù¿ø¼®","21L","0.00","6","0","0","0","0","0","0","0","6.0","4","4","28","1","1","0","0","9","0","1","8","0","0","6.00","5.67","1.67","71.9","78.0","0.00","0.04"
"1041","¹®´ë¿ø","21µÎ","0.00","2","0","0","0","0","0","0","0","1.1","1","1","9","2","0","0","1","2","0","0","1","0","0","6.75","16.08","3.00","63.9","25.8","0.00","0.00"
"1051","ÀÌ½ÂÇå","21·Ô","-0.00","16","0","0","12","0","3","0","0","57.2","39","37","278","65","10","0","2","43","0","7","32","1","11","5.77","5.28","1.87","78.7","84.6","-0.00","-0.93"
"1061","À±»êÈì","21ÇÑ","-0.00","5","0","0","0","0","0","0","0","3.0","2","2","19","7","0","0","0","2","0","2","2","0","0","6.00","6.00","3.00","73.0","74.3","-0.00","-0.06"
"1071","¿Àµ¿¿í","21ÇÑ","-0.00","34","0","0","0","0","1","0","2","25.0","17","15","117","21","9","0","3","16","0","5","13","0","0","5.40","6.37","1.48","81.1","70.0","-0.00","-0.32"
"1101","±è°Ç±¹","21·Ô","-0.01","13","0","0","0","0","0","0","0","22.0","16","16","104","27","8","0","3","14","0","0","17","0","2","6.55","5.47","1.86","69.4","81.6","-0.01","0.09"
"1111","¼ÕÁ¤¿í","21N","-0.02","15","0","0","0","1","0","0","0","12.1","9","9","61","17","2","3","1","7","0","0","8","0","1","6.57","4.79","1.95","69.1","94.2","-0.02","-0.45"
"1121","È²À±È£","21K","-0.02","1","0","0","0","0","0","0","0","0.2","1","0","4","2","0","0","0","0","0","0","0","0","0","0.00","3.33","3.00","","133.6","-0.02","0.00"
"1131","Á¤ÀÎ¿í","21ÇÑ","-0.02","8","0","0","1","0","0","0","0","9.1","6","5","44","6","1","0","2","10","0","0","6","0","0","4.82","8.05","1.71","90.8","55.4","-0.02","-0.19"
"1141","±è°­¹Î","21S","-0.02","1","0","0","0","0","0","0","0","0.2","1","1","4","1","0","0","1","1","0","0","1","0","0","13.50","24.33","3.00","33.2","19.1","-0.02","0.00"
"1151","Á¤¿µÀÏ","21S","-0.03","1","0","0","0","0","0","0","0","2.0","2","2","9","4","1","0","1","0","0","0","0","0","0","9.00","9.83","2.00","49.9","46.7","-0.03","-0.00"
"1161","¿À¼®ÁÖ","21L","-0.03","9","0","0","0","0","0","0","0","8.1","6","6","38","9","1","0","0","6","0","0","7","0","0","6.48","3.81","1.80","66.6","116.4","-0.03","-0.05"
"1171","È«¹Î±â","21·Ô","-0.04","1","0","0","0","0","0","0","0","0.1","1","1","3","0","0","0","0","2","0","0","0","0","0","27.00","21.33","6.00","16.8","20.9","-0.04","-0.01"
"1181","±èµ¿¿í","21Å°","-0.04","3","0","0","0","0","0","0","0","3.0","3","3","16","7","0","1","2","1","0","0","2","0","0","9.00","11.67","2.67","49.3","35.7","-0.04","-0.00"
"1191","ÀÌÇü¹ü","21µÎ","-0.04","4","0","0","0","0","0","0","0","2.2","2","0","16","2","0","0","0","5","0","1","2","0","0","0.00","8.58","2.63","","51.4","-0.04","-0.55"
"212","ÃÖ¿µÈ¯","21·Ô","-0.05","20","0","0","7","1","2","0","0","40.2","30","28","181","45","10","0","4","24","0","2","28","0","4","6.20","5.15","1.70","73.3","86.7","-0.05","-0.58"
"312","ÀÌÁØ¿µ","21K","-0.05","50","0","0","1","3","2","1","9","35.2","25","22","159","30","5","0","3","19","1","0","26","0","3","5.55","4.48","1.37","80.1","99.1","-0.05","-0.65"
"412","ÀÌÂùÇõ","21L","-0.06","1","0","0","0","0","0","0","0","1.0","2","2","6","1","1","0","0","2","0","0","2","0","1","18.00","5.33","3.00","24.0","82.9","-0.06","0.00"
"512","È²¿µ±¹","21ÇÑ","-0.06","18","0","0","0","0","2","0","2","14.2","10","9","71","16","1","0","0","10","0","1","15","0","2","5.52","3.54","1.77","79.3","126.2","-0.06","-0.60"
"611","³ª¿øÅ¹","21·Ô","-0.06","2","0","0","0","0","0","0","0","2.0","3","3","10","1","0","1","0","3","0","0","3","0","1","13.50","4.83","2.00","33.7","92.2","-0.06","0.00"
"712","Á¶¿äÇÑ","21S","-0.06","6","0","0","0","0","0","0","1","7.0","6","6","38","10","3","0","0","9","0","0","4","0","0","7.71","6.05","2.71","58.2","73.9","-0.06","-0.23"
"812","ÀÓÇöÁØ","21»ï","-0.06","27","0","0","0","1","2","0","5","11.0","8","8","52","11","1","2","0","7","0","4","8","0","0","6.55","4.88","1.64","69.0","91.3","-0.06","-0.68"
"912","ÀÌ½ÂÇå","21N","-0.06","5","0","0","0","0","0","0","0","5.1","5","4","27","9","3","0","0","1","0","0","7","0","0","6.75","1.27","1.88","67.3","350.0","-0.06","-0.03"
"1012","Â÷¿ìÂù","21L","-0.08","5","0","0","5","2","1","0","0","22.1","14","13","99","16","3","0","2","13","0","3","12","0","0","5.24","5.57","1.30","82.3","77.8","-0.08","-0.36"
"1112","½º¹Ì½º","21Å°","-0.08","2","0","0","2","1","0","0","0","10.0","7","7","43","9","2","0","1","5","0","0","5","0","0","6.30","5.13","1.40","70.4","84.4","-0.08","-0.14"
"142","À¯ÀçÀ¯","21µÎ","-0.09","4","0","0","0","0","0","0","0","3.1","4","4","19","4","0","0","2","5","0","0","1","0","1","10.80","15.03","2.70","39.9","27.9","-0.09","-0.04"
"152","º¯½Ã¿ø","21K","-0.09","1","0","0","0","0","0","0","0","0.2","2","2","7","1","0","0","0","3","0","1","0","0","0","27.00","21.33","6.00","16.5","21.0","-0.09","-0.03"
"162","¼­±Õ","21ÇÑ","-0.09","3","0","0","0","0","0","0","0","1.2","2","2","10","2","0","0","0","0","0","2","0","0","0","10.80","6.93","1.20","40.6","64.1","-0.09","-0.19"
"172","½ÅÁöÈÄ","21ÇÑ","-0.09","2","0","0","0","0","0","0","0","0.1","2","0","3","0","0","0","0","1","0","0","0","0","0","0.00","12.33","3.00","","36.4","-0.09","-0.01"
"182","ÀÌ»ó±Ô","21L","-0.10","7","0","0","0","0","0","0","0","6.0","6","6","29","8","2","0","1","2","0","1","4","0","0","9.00","5.67","1.67","47.9","75.1","-0.10","0.02"
"192","Á¤¿ìÁØ","21·Ô","-0.10","6","0","0","0","0","0","0","0","5.2","6","6","29","6","2","0","1","5","0","2","4","0","0","9.53","7.92","1.94","47.7","56.5","-0.10","-0.19"
"202","Á¶¿µ¿ì","21S","-0.10","30","0","0","8","4","8","1","0","66.2","46","42","291","74","10","2","10","26","0","0","48","0","3","5.67","5.01","1.50","79.1","90.8","-0.10","-0.32"
"213","ÇÏÁØÈ£","21K","-0.11","10","0","0","0","0","0","0","0","12.0","10","9","56","16","1","1","2","6","0","0","10","0","1","6.75","5.33","1.83","66.5","83.1","-0.11","-0.20"
"222","³²È£","21µÎ","-0.11","5","0","0","0","0","1","0","0","2.2","3","3","13","3","1","0","0","3","0","0","2","0","0","10.13","5.21","2.25","42.6","85.1","-0.11","-0.15"
"232","¹Ú¼¼¿õ","21»ï","-0.11","4","0","0","0","0","0","0","0","3.0","4","3","18","5","0","1","1","3","0","1","2","0","0","9.00","10.33","2.67","50.2","44.2","-0.11","-0.10"
"262","¿ÀÇöÅÃ","21·Ô","-0.12","20","0","0","0","0","1","0","1","16.1","13","12","87","28","7","0","2","8","2","1","8","0","0","6.61","5.23","2.20","68.7","85.2","-0.12","-0.80"
"272","°íºÀÀç","21µÎ","-0.12","1","0","0","0","0","0","0","0","1.1","4","4","8","5","0","0","1","0","0","0","0","0","0","27.00","13.08","3.75","16.0","31.3","-0.12","0.00"
"282","¹ÚÁÖÈ«","21ÇÑ","-0.12","2","0","0","1","1","1","0","0","3.0","4","4","18","2","0","0","0","9","0","0","3","0","1","12.00","10.33","3.67","36.5","43.4","-0.12","-0.22"
"292","À¯¿ø»ó","21K","-0.12","11","0","0","0","1","1","0","1","13.0","10","9","60","15","2","0","0","6","0","0","13","0","3","6.23","2.72","1.62","72.1","164.4","-0.12","-0.08"
"302","±èÅÂÇü","21L","-0.12","2","0","0","0","0","0","0","0","1.0","3","3","6","0","0","0","0","2","0","1","1","0","0","27.00","10.33","2.00","16.0","42.6","-0.12","0.01"
"313","°­Áö±¤","21S","-0.13","1","0","0","0","0","0","0","0","1.0","4","4","10","3","0","0","0","4","0","0","1","0","0","36.00","13.33","7.00","12.5","33.5","-0.13","-0.00"
"322","³²Áö¹Î","21ÇÑ","-0.13","3","0","0","3","0","1","0","0","7.1","6","6","41","9","2","0","1","7","0","3","3","0","0","7.36","8.38","2.18","59.5","53.2","-0.13","-0.24"
"332","ÀÌ¿ëÁØ","21N","-0.13","2","0","0","0","0","0","0","0","1.2","4","4","12","3","0","0","0","4","0","0","1","0","2","21.60","9.33","4.20","21.0","48.4","-0.13","-0.02"
"342","Àå¿õÁ¤","21ÇÑ","-0.13","4","0","0","0","0","0","0","0","7.1","8","8","38","15","4","0","4","2","0","0","4","0","1","9.82","10.15","2.32","44.6","43.9","-0.13","-0.09"
"352","°­°æÇÐ","21ÇÑ","-0.14","1","0","0","0","0","0","0","0","0.2","4","4","8","3","1","0","0","2","0","1","0","0","0","54.00","16.83","7.50","8.1","26.6","-0.14","0.00"
"382","ÀÌÃ¤È£","21S","-0.14","3","0","0","0","0","0","0","0","5.0","7","4","27","8","0","0","2","3","0","0","3","0","1","7.20","9.13","2.20","62.3","50.2","-0.14","-0.01"
"392","±è¼¼Çö","21S","-0.14","5","0","0","0","0","0","0","0","4.1","5","5","28","9","2","0","0","7","1","0","5","1","0","10.38","5.18","3.69","43.2","86.9","-0.14","-0.05"
"402","Á¤¼ºÁ¾","21·Ô","-0.14","12","0","0","0","0","0","0","0","12.0","12","11","65","19","1","0","2","8","0","1","4","0","2","8.25","7.08","2.25","55.1","63.1","-0.14","-0.10"
"413","±èµ¿¿ì","21·Ô","-0.15","5","0","0","0","0","0","0","0","5.0","7","6","30","10","0","0","1","5","0","0","3","0","2","10.80","7.73","3.00","42.1","57.8","-0.15","-0.02"
"422","Â÷¸íÁø","21K","-0.16","4","0","0","3","0","1","0","0","10.2","9","9","57","12","3","0","1","13","0","1","6","0","0","7.59","7.36","2.34","58.6","60.5","-0.16","-0.41"
"432","ÀÓ±Ôºó","21Å°","-0.16","5","0","0","0","0","0","0","0","8.2","10","10","43","13","6","0","3","4","0","0","6","0","0","10.38","7.83","1.96","42.7","53.9","-0.16","0.00"
"442","¾çÃ¢¼·","21»ï","-0.16","9","0","0","0","1","1","0","1","15.0","11","11","73","21","5","0","3","8","0","0","13","0","1","6.60","5.80","1.93","68.4","78.7","-0.16","-0.40"
"452","ÃÖµ¿È¯","21L","-0.16","8","0","0","0","0","0","0","0","5.2","6","6","28","6","1","0","0","4","0","2","2","0","0","9.53","5.80","1.77","45.3","76.1","-0.16","0.00"
"462","ÀÌ»óµ¿","21K","-0.17","6","0","0","0","0","1","0","1","6.1","6","6","29","7","0","0","0","3","0","0","5","0","1","8.53","3.18","1.58","52.7","140.4","-0.17","-0.28"
"472","¹ÚÀç¹Î","21·Ô","-0.17","5","0","0","0","0","0","0","0","2.2","5","5","13","3","1","0","1","2","0","0","2","0","0","16.88","8.96","1.88","26.9","49.9","-0.17","-0.03"
"502","±èÀ¯¿µ","21·Ô","-0.17","26","0","0","0","1","0","0","0","18.2","16","15","92","21","4","0","1","14","0","2","17","0","2","7.23","4.78","1.88","62.8","93.4","-0.17","-0.11"
"513","±èÅÂÇö","21N","-0.18","6","0","0","0","0","0","0","0","5.1","8","7","32","5","0","0","0","7","0","4","3","0","3","11.81","8.40","2.25","38.4","53.2","-0.18","-0.04"
"522","ÀÌÁ¾¹Î","21Å°","-0.18","2","0","0","0","0","0","0","0","2.1","6","6","17","4","0","0","1","7","0","0","3","0","0","23.14","15.33","4.71","19.2","28.0","-0.18","-0.01"
"532","ÀÌÁ¤Çö","21K","-0.19","2","0","0","1","0","1","0","0","8.2","9","9","38","12","3","0","3","5","0","0","1","0","0","9.35","9.33","1.96","48.1","47.3","-0.19","-0.33"
"542","±èÁøÈ£","21N","-0.19","1","0","0","1","0","1","0","0","1.0","3","3","7","2","0","0","0","3","0","0","1","0","1","27.00","10.33","5.00","16.8","43.8","-0.19","-0.23"
"552","¾ç¼±·ü","21S","-0.19","1","0","0","1","0","1","0","0","1.0","3","3","10","3","0","0","0","3","0","1","1","0","1","27.00","13.33","6.00","16.6","33.8","-0.19","-0.28"
"562","ÇÑ½ÂÇõ","21·Ô","-0.19","7","0","0","0","0","0","0","0","4.0","6","6","25","6","1","0","1","5","0","1","5","0","2","13.50","8.58","2.75","33.7","52.1","-0.19","-0.21"
"572","±èÃ¢ÈÆ","21·Ô","-0.20","6","0","0","0","0","0","0","0","8.0","10","10","41","13","4","0","1","6","0","0","6","0","0","11.25","5.71","2.38","40.4","78.2","-0.20","0.10"
"582","±è±âÅ¹","21ÇÑ","-0.21","19","0","0","0","0","0","0","4","12.1","10","8","58","14","4","1","0","7","0","1","12","0","0","5.84","3.33","1.70","75.0","133.8","-0.21","-0.31"
"592","¼ÒÀÌÇö","21N","-0.21","10","0","0","0","0","0","0","0","10.2","12","8","59","13","3","0","1","12","0","0","10","0","1","6.75","6.05","2.34","67.3","74.8","-0.21","-0.22"
"622","ÀÌ±³ÈÆ","21µÎ","-0.21","11","0","0","0","0","0","0","0","8.1","10","10","43","13","3","0","2","3","0","1","8","0","0","10.80","5.97","1.92","39.9","70.2","-0.21","-0.06"
"632","¹ÚÁøÇü","21·Ô","-0.22","22","0","0","0","2","1","0","0","16.0","14","14","81","25","6","2","1","10","1","0","23","0","0","7.88","2.96","2.19","57.7","150.5","-0.22","-0.43"
"642","³ª±Õ¾È","21·Ô","-0.22","23","0","0","7","1","2","1","1","46.1","36","33","223","62","13","0","4","24","0","0","27","1","1","6.41","4.84","1.86","70.9","92.1","-0.22","-0.74"
"652","ÇÑÂ÷Çö","21K","-0.22","3","0","0","0","0","0","0","0","3.2","8","8","23","10","0","0","3","2","0","0","3","0","0","19.64","13.97","3.27","22.9","31.6","-0.22","0.00"
"662","¹ÚÁ¾±â","21µÎ","-0.22","22","0","0","5","0","4","0","0","59.2","42","38","274","69","10","1","3","29","0","3","33","0","3","5.73","4.49","1.64","75.3","97.3","-0.22","-1.66"
"672","¹ÚÁØÇ¥","21K","-0.22","32","0","0","0","2","4","0","4","32.0","24","21","158","42","9","1","3","17","0","9","18","0","0","5.91","5.86","1.84","75.3","75.9","-0.22","-1.48"
"682","±è¹Î±Ô","21µÎ","-0.22","31","0","0","6","2","3","0","1","56.1","40","38","262","64","10","0","9","28","0","4","39","0","3","6.07","5.73","1.63","71.0","74.4","-0.22","-0.67"
"692","Á¶º´Çö","21S","-0.22","3","0","0","3","0","0","0","0","6.2","7","6","33","7","3","0","1","5","0","1","8","0","1","8.10","5.58","1.80","55.4","81.8","-0.22","-0.45"
"702","Àå¿øÁØ","21µÎ","-0.25","32","0","0","0","0","1","1","4","18.2","15","14","95","20","3","0","1","18","0","2","8","0","1","6.75","6.39","2.04","63.9","68.5","-0.25","-0.30"
"713","ÇãÀ±µ¿","21»ï","-0.25","1","0","0","1","0","1","0","0","3.2","6","5","22","8","2","0","1","1","0","1","3","0","0","12.27","6.88","2.46","36.8","66.8","-0.25","-0.38"
"742","Á¤¼ö¹Î","21S","-0.26","10","0","0","7","1","2","0","0","30.1","24","23","151","34","5","1","6","27","1","1","22","0","1","6.82","7.12","2.01","65.8","63.8","-0.26","-0.59"
"752","±¸ÁØ¹ü","21»ï","-0.27","1","0","0","1","0","0","0","0","2.0","5","5","12","2","0","0","2","3","0","1","1","0","0","22.50","21.33","2.50","20.1","21.7","-0.27","-0.37"
"762","ÀÌ¿µÇÏ","21µÎ","-0.28","35","0","0","11","5","6","1","2","78.2","58","55","364","81","18","0","9","57","0","1","53","0","7","6.29","5.68","1.75","68.5","75.8","-0.28","-1.63"
"772","ÀÌ¿ìÂù","21L","-0.28","15","0","0","5","0","1","0","0","34.0","25","21","161","36","3","1","3","25","0","1","27","0","0","5.56","5.19","1.79","77.6","83.5","-0.28","-0.54"
"782","±è´ëÇö","21L","-0.28","4","0","0","0","0","0","0","0","3.2","8","5","23","7","4","0","2","3","0","1","4","0","1","12.27","11.51","2.73","35.1","36.1","-0.28","-0.06"
"792","°í¿µÃ¢","21K","-0.28","24","0","0","0","0","2","0","6","23.1","19","15","108","30","6","0","0","10","0","2","6","0","0","5.79","4.36","1.71","76.9","102.5","-0.28","-0.44"
"802","±è¼ºÁø","21Å°","-0.29","45","0","0","0","1","3","0","2","40.2","30","24","185","40","13","0","4","23","2","0","29","0","3","5.31","4.73","1.55","83.5","91.2","-0.29","-1.01"
"813","¼­´ö¿ø","21K","-0.29","24","0","0","0","1","0","0","1","32.2","28","27","148","36","8","1","7","14","0","0","24","0","5","7.44","5.94","1.53","59.8","74.4","-0.29","-0.82"
"822","Á¤¿ì¶÷","21ÇÑ","-0.30","50","0","0","0","1","4","15","1","44.2","29","28","199","47","5","0","5","20","2","5","32","0","0","5.64","4.90","1.50","77.6","91.0","-0.30","-1.27"
"832","±èÀ±¼ö","21»ï","-0.33","20","0","0","1","0","0","0","1","19.0","18","14","101","25","5","0","2","17","0","1","25","0","4","6.63","4.91","2.21","68.1","91.6","-0.33","-0.65"
"862","±èÁ¤ÀÎ","21Å°","-0.33","11","0","0","6","1","2","0","0","31.2","26","25","151","34","6","1","6","18","0","2","21","0","2","7.11","6.36","1.64","62.4","67.4","-0.33","-0.79"
"872","°­À±±¸","21N·Ô","-0.33","22","0","0","1","0","1","0","3","16.0","15","15","79","21","4","0","3","14","1","1","15","0","0","8.44","6.52","2.19","53.9","68.6","-0.33","-0.91"
"882","³²ÀçÇö","21K","-0.34","5","0","0","1","0","1","0","1","8.0","13","13","44","10","2","0","2","10","0","0","5","0","1","14.63","9.08","2.50","30.4","48.8","-0.34","0.04"
"892","¹Ú°üÁø","21Å°","-0.37","2","0","0","0","0","0","0","0","0.2","9","6","12","5","1","0","0","3","0","1","0","0","0","81.00","21.33","12.00","5.5","20.8","-0.37","-0.05"
"902","°­µ¿¿¬","21N","-0.37","12","0","0","3","3","2","0","1","23.0","21","20","109","25","4","1","4","14","0","0","14","0","3","7.83","6.20","1.70","58.0","73.1","-0.37","-1.28"
"913","Á¶Á¦¿µ","21µÎ","-0.38","6","0","0","1","0","1","0","0","10.2","13","13","60","18","3","0","1","10","1","1","5","0","1","10.97","6.43","2.63","39.3","67.5","-0.38","-0.43"
"922","±è´ë¿ì","21»ï","-0.39","31","0","0","4","0","2","0","1","51.0","39","36","234","68","18","0","7","15","1","2","27","0","1","6.35","5.00","1.63","71.0","91.0","-0.39","-1.41"
"932","ÇöµµÈÆ","21µÎ","-0.40","5","0","0","2","0","0","0","0","8.2","12","12","46","9","1","0","1","13","0","0","9","0","1","12.46","7.26","2.54","34.6","59.7","-0.40","-0.29"
"942","ÃÖ¿ëÁØ","21K","-0.40","3","0","0","2","0","1","0","0","6.1","10","10","39","11","4","1","3","7","0","1","6","0","0","14.21","11.39","2.84","31.3","38.7","-0.40","-0.41"
"952","ÀÌ½ÂÀç","21K","-0.41","25","0","0","0","2","1","0","5","24.0","20","20","118","26","2","0","5","18","0","3","17","1","3","7.50","7.25","1.83","59.3","61.1","-0.41","-0.49"
"982","ÀÌÃæÈ£","21ÇÑ","-0.43","17","0","0","0","1","0","0","0","16.1","17","14","85","20","2","2","1","13","0","3","11","0","0","7.71","5.72","2.02","56.8","78.0","-0.43","-0.38"
"992","ÀÌ°­ÁØ","21K·Ô","-0.43","15","0","0","0","1","0","0","0","8.1","11","10","48","11","1","0","1","12","0","3","4","0","2","10.80","9.33","2.76","41.9","47.7","-0.43","-0.30"
"1002","ÀåÇÊÁØ","21»ï","-0.43","41","0","0","0","0","0","0","2","34.2","30","28","174","46","8","1","4","27","1","1","24","0","4","7.27","5.78","2.11","62.1","78.1","-0.43","-0.68"
"1013","ÀÌ½ÂÇö","21»ï","-0.45","21","0","0","0","1","1","0","1","17.0","18","18","86","30","5","1","6","8","0","0","7","0","1","9.53","8.51","2.24","47.4","54.1","-0.45","-0.49"
"1022","±èÀÌÈ¯","21ÇÑ","-0.46","14","0","0","5","0","1","0","0","26.0","22","22","132","32","5","0","2","22","0","4","13","0","1","7.62","6.33","2.08","57.5","70.5","-0.46","-0.50"
"1032","¹ÚÁ¤¼ö","21NµÎ","-0.49","12","0","0","5","3","3","0","0","30.1","27","25","143","38","9","0","5","14","0","3","26","0","2","7.42","5.44","1.71","59.8","80.9","-0.49","-1.02"
"1042","±è¼±±â","21Å°","-0.50","21","0","0","7","3","2","0","0","48.1","38","35","224","53","12","0","5","22","0","7","25","1","4","6.52","5.44","1.55","68.0","79.8","-0.50","-1.40"
"1052","ÀåÀç¿µ","21Å°","-0.54","19","0","0","2","0","1","0","0","17.2","18","18","92","15","5","0","0","24","0","3","14","0","5","9.17","6.33","2.21","48.3","69.7","-0.54","-0.87"
"1062","ÀÌ°Ç¿í","21S","-0.63","5","0","0","4","0","1","0","0","12.2","16","16","72","16","4","0","4","19","0","1","5","0","0","11.37","11.39","2.76","39.5","39.9","-0.63","-0.90"
"1072","¼ÕÁÖ¿µ","21L","-0.63","7","0","0","6","1","3","0","0","26.2","25","25","127","31","7","2","4","20","0","1","21","0","1","8.44","6.07","1.91","51.1","70.6","-0.63","-0.88"
"1102","¼­ÁØ¿ø","21·Ô","-0.65","26","0","0","8","1","3","0","3","54.0","46","44","257","72","13","2","5","29","3","2","37","0","1","7.33","4.72","1.87","62.0","94.4","-0.65","-1.07"
"1113","¿ÀÁÖ¿ø","21Å°","-0.68","21","0","0","0","1","1","1","0","18.1","20","20","89","33","8","0","3","4","1","0","9","0","1","9.82","4.97","2.02","45.2","86.0","-0.68","-0.89"
"1122","ÀÌ½ÂÈ£","21Å°","-0.68","38","0","0","3","1","3","0","5","47.1","39","29","224","55","7","1","4","31","2","1","37","0","8","5.51","4.77","1.82","80.4","90.8","-0.68","-1.15"
