등번호,이름,팀명,포지션,생년월일,학력,키_cm,몸무게_kg
,,52.0,박병호,삼성,영일초(광명리틀)-영남중-성남고-상무-LG-히어로즈-미네소타-넥센-키움-KT,,
,,5.0,박상준,KIA,석교초-세광중-세광고-강릉영동대,,
,,62.0,박선호,고양,청원고-호원대,,
,,2.0,박성한,SSG,순천북초-여수중-효천고-SK-상무-SK,,
,,53.0,박승욱,롯데,칠성초-경복중-대구상원고-SK-KT,,
,,112.0,박인우,NC,배봉초(군포시리틀)-청량중-배명고-용인예술과학대,,
,,116.0,박장민,삼성,칠성초-경상중-대구고,,
,,9.0,박정현,상무,부천북초-부천중-유신고-한화-상무,,
,,113.0,박주찬,NC,동막초-경포중-강릉고-동아대,,
,,2.0,박준순,두산,배봉초(동대문구리틀)-청량중-덕수고,,
,,16.0,박준영,두산,서울도곡초(남양주리틀)-잠신중-경기고-NC,,
,,1.0,박지환,SSG,군산남초-군산중-세광고,,
,,37.0,박지훈,두산,김해삼성초-경남중-마산고,,
,,108.0,박지훈,롯데,서흥초-동산중-동산고-송원대,,
,,1.0,박찬호,KIA,신답초-건대부중-장충고,,
,,58.0,박태완,KT,중동초(부천시리틀)-부천중-유신고,,
,,98.0,배승수,한화,가동초-자양중-덕수고,,
,,98.0,배인혁,롯데,새빛초(용인수지구리틀)-동인천중-인천고,,
,,2.0,백승현,LG,소래초-상인천중-인천고,,
,,105.0,변상권,화성,인천서림초-상인천중-제물포고-재능대,,
,,29.0,변우혁,KIA,일산초-현도중-북일고-한화-상무-한화,,
,,58.0,서건창,KIA,송정동초-충장중-광주제일고-LG-히어로즈-키움-LG,,
,,98.0,서유신,키움,광주수창초-충장중-화순고-원광대,,
,,116.0,서준교,NC,거제제산초(거제리틀)-외포중-김해고,,
,,5.0,서호철,NC,순천남산초-순천이수중-효천고-동의대-NC-상무,,
,,52.0,석정우,SSG,동일중앙초-경남중-경남고-연세대,,
,,52.0,손용준,LG,김해화정초(김해리틀)-내동중-김해고-동원과학기술대,,
,,33.0,손호영,롯데,의왕부곡초-평촌중-충훈고-LG,,
,,131.0,송대현,LG,중대초-자양중-신일고-동국대,,
,,24.0,송성문,키움,봉천초(용산구리틀)-홍은중-장충고-히어로즈-키움-상무,,
,,4.0,송승환,두산,신기초(금천구리틀)-양천중-서울고,,
,,86.0,송지후,키움,광주수창초-진흥중-광주제일고,,
,,14.0,송찬의,LG,화곡초-선린중-선린인터넷고,,
,,54.0,송호정,한화,수유초-자양중-서울고,,
,,4.0,신민재,LG,서흥초-동인천중-인천고,,
,,127.0,신민철,두산,가동초-휘문중-휘문고,,
,,118.0,신성호,NC,김해삼성초-내동중-마산고,,
,,69.0,신우재,한화,인천숭의초-자양중-세광고-인천재능대,,
,,3.0,신윤후,롯데,무학초-마산중-마산고-동의대,,
,,2.0,심우준,한화,송정동초-언북중-경기고-(영남사이버대)-KT-상무-KT,,
,,38.0,심재훈,삼성,삼일초-평촌중-유신고,,
,,91.0,심휘윤,고양,사당초-언북중-배재고,,
